id,name,score
NOR,Norway,7.537000179
DNK,Denmark,7.521999836
ISL,Iceland,7.504000187
CHE,Switzerland,7.493999958
FIN,Finland,7.468999863
NLD,Netherlands,7.376999855
CAN,Canada,7.315999985
NZL,New Zealand,7.31400013
SWE,Sweden,7.28399992
AUS,Australia,7.28399992
ISR,Israel,7.212999821
CRI,Costa Rica,7.078999996
AUT,Austria,7.006000042
USA,United States,6.993000031
IRL,Ireland,6.977000237
DEU,Germany,6.951000214
BEL,Belgium,6.890999794
LUX,Luxembourg,6.862999916
GBR,United Kingdom,6.714000225
CHL,Chile,6.65199995
ARE,United Arab Emirates,6.647999763
BRA,Brazil,6.635000229
CZE,Czech Republic,6.609000206
ARG,Argentina,6.598999977
MEX,Mexico,6.578000069
SGP,Singapore,6.572000027
173,Malta,6.52699995
URY,Uruguay,6.453999996
GTM,Guatemala,6.453999996
PAN,Panama,6.452000141
FRA,France,6.441999912
THA,Thailand,6.423999786
TWN,Taiwan Province of China,6.421999931
ESP,Spain,6.402999878
QAT,Qatar,6.375
COL,Colombia,6.356999874
SAU,Saudi Arabia,6.343999863
TTO,Trinidad and Tobago,6.168000221
KWT,Kuwait,6.105000019
SVK,Slovakia,6.09800005
163,Bahrain,6.086999893
MYS,Malaysia,6.084000111
NIC,Nicaragua,6.071000099
ECU,Ecuador,6.007999897
SLV,El Salvador,6.002999783
POL,Poland,5.97300005
UZB,Uzbekistan,5.971000195
ITA,Italy,5.964000225
RUS,Russia,5.962999821
BLZ,Belize,5.955999851
JPN,Japan,5.920000076
LTU,Lithuania,5.90199995
DZA,Algeria,5.872000217
LVA,Latvia,5.849999905
KOR,South Korea,5.837999821
MDA,Moldova,5.837999821
ROU,Romania,5.824999809
BOL,Bolivia,5.822999954
TKM,Turkmenistan,5.822000027
KAZ,Kazakhstan,5.818999767
SVN,Slovenia,5.757999897
PER,Peru,5.715000153
153,Mauritius,5.629000187
CYP,Cyprus,5.620999813
EST,Estonia,5.611000061
BLR,Belarus,5.568999767
LBY,Libya,5.525000095
TUR,Turkey,5.5
PRY,Paraguay,5.493000031
HKG,"Hong Kong S.A.R., China",5.472000122
PHL,Philippines,5.429999828
SRB,Serbia,5.394999981
JOR,Jordan,5.335999966
HUN,Hungary,5.323999882
JAM,Jamaica,5.31099987
HRV,Croatia,5.293000221
KWT,Kosovo,5.278999805
CHN,China,5.272999763
PAK,Pakistan,5.269000053
IDN,Indonesia,5.262000084
VEN,Venezuela,5.25
MNE,Montenegro,5.236999989
MAR,Morocco,5.235000134
AZE,Azerbaijan,5.234000206
DOM,Dominican Republic,5.230000019
GRC,Greece,5.227000237
LBN,Lebanon,5.224999905
PRT,Portugal,5.195000172
BIH,Bosnia and Herzegovina,5.18200016
HND,Honduras,5.181000233
MKD,Macedonia,5.175000191
SOM,Somalia,5.151000023
VNM,Vietnam,5.073999882
NGA,Nigeria,5.073999882
TJK,Tajikistan,5.040999889
BTN,Bhutan,5.011000156
KGZ,Kyrgyzstan,5.004000187
NPL,Nepal,4.961999893
MNG,Mongolia,4.954999924
ZAF,South Africa,4.828999996
TUN,Tunisia,4.804999828
EGY,Egypt,4.735000134
BGR,Bulgaria,4.714000225
SLE,Sierra Leone,4.709000111
CMR,Cameroon,4.695000172
IRN,Iran,4.691999912
ALB,Albania,4.644000053
BGD,Bangladesh,4.607999802
NAM,Namibia,4.573999882
KEN,Kenya,4.552999973
MOZ,Mozambique,4.550000191
SEN,Senegal,4.534999847
ZMB,Zambia,4.513999939
IRQ,Iraq,4.497000217
GAB,Gabon,4.465000153
ETH,Ethiopia,4.460000038
LKA,Sri Lanka,4.440000057
ARM,Armenia,4.375999928
IND,India,4.315000057
MRT,Mauritania,4.291999817
COG,Congo,4.290999889
GEO,Georgia,4.285999775
MLI,Mali,4.190000057
CIV,Ivory Coast,4.179999828
KHM,Cambodia,4.168000221
SDN,Sudan,4.138999939
GHA,Ghana,4.119999886
UKR,Ukraine,4.096000195
UGA,Uganda,4.080999851
BFA,Burkina Faso,4.032000065
NER,Niger,4.027999878
MWI,Malawi,3.970000029
TCD,Chad,3.936000109
ZWE,Zimbabwe,3.875
LSO,Lesotho,3.808000088
AGO,Angola,3.795000076
AFG,Afghanistan,3.79399991
BWA,Botswana,3.766000032
BEN,Benin,3.657000065
MDG,Madagascar,3.644000053
HTI,Haiti,3.602999926
YEM,Yemen,3.592999935
SDS,South Sudan,3.59100008
LBR,Liberia,3.532999992
GIN,Guinea,3.506999969
TGO,Togo,3.494999886
RWA,Rwanda,3.470999956
SYR,Syria,3.461999893
TZA,Tanzania,3.348999977
BDI,Burundi,2.904999971
CAF,Central African Republic,2.693000078
